disease,medicine
Fungal infection,"Clotrimazole,Miconazole"
Allergy,"Cetirizine,Loratadine"
GERD,"Omeprazole,Ranitidine"
Chronic cholestasis,"Ursodeoxycholic acid"
Drug Reaction,"Antihistamines,Corticosteroids"
Peptic ulcer diseae,"Omeprazole,Lansoprazole"
AIDS,"Antiretroviral therapy (ART)"
Diabetes,"Metformin,Insulin"
Gastroenteritis,"Loperamide,Oral rehydration salts"
Bronchial Asthma,"Albuterol,Salbutamol"
Hypertension,"Lisinopril,Amlodipine"
Migraine,"Sumatriptan,Ibuprofen"
Cervical spondylosis,"Ibuprofen,Naproxen"
Paralysis (brain haemorrhage),"Aspirin,Clopidogrel"
Jaundice,"Supportive care,Antiviral medication"
Malaria,"Chloroquine,Artemether"
Chicken pox,"Acyclovir,Calamine lotion"
Dengue,"Acetaminophen,Oral rehydration salts"
Typhoid,"Ciprofloxacin,Azithromycin"
hepatitis A,"Supportive care,Hepatitis A vaccine"
Hepatitis B,"Entecavir,Tenofovir"
Hepatitis C,"Sofosbuvir,Ledipasvir"
Hepatitis D,"Pegylated interferon alfa-2a"
Hepatitis E,"Ribavirin,Supportive care"
Alcoholic hepatitis,"Corticosteroids,Pentoxifylline"
Tuberculosis,"Isoniazid,Rifampin"
Common Cold,"Ibuprofen,Decongestants"
Pneumonia,"Amoxicillin,Azithromycin"
Dimorphic hemmorhoids(piles),"Hydrocortisone cream,Lidocaine"
Heart attack,"Aspirin,Nitroglycerin"
Varicose veins,"Compression stockings,Sclerotherapy"
Hypothyroidism,"Levothyroxine"
Hyperthyroidism,"Methimazole,Propylthiouracil"
Hypoglycemia,"Glucose tablets,Glucagon"
Osteoarthristis,"Acetaminophen,Ibuprofen"
Arthritis,"Ibuprofen,Naproxen"
(vertigo) Paroymsal  Positional Vertigo,"Meclizine,Dimenhydrinate"
Acne,"Benzoyl peroxide,Salicylic acid"
Urinary tract infection,"Trimethoprim,Nitrofurantoin"
Psoriasis,"Topical corticosteroids,Calcipotriene"
Impetigo,"Mupirocin,Cephalexin"
